Section,Query #,Query Text,k parameter,Response #,chunk_id,page_id,FAISS distance,Response Text
A,1,What is the academic integrity policy?,5,1,p013_c002,12,0.4061571955680847,Practice of the Mission of Academic Integrity Academic integrity refers to the implicit commitment that every member makes to all others in the community to practice those principles that underlie the mission of the university and define academic integrity. These are: honesty and good faith; clarity in the communication of core values; professional conduct of work; mutual trust and respect; and fairness and exemplary behavior.
A,1,What is the academic integrity policy?,5,2,p011_c008,10,0.43339022994041443,"Statement on Academic Integrity The Statement on Academic Integrity, found in the faculty, student and staff handbooks, is the first step in Carnegie Mellon University's ongoing effort to identify and implement the kind of society its members wish to enjoy. This statement will be followed by implementation strategies as the Task Force on Academic Integrity continues its work."
A,1,What is the academic integrity policy?,5,3,p016_c011,15,0.4441302418708801,"Academic Integrity Policy Students at Carnegie Mellon are engaged in intellectual activity consistent with the highest standards of the academy. The relationship between students and instructors and their shared commitment to overarching standards of respect, honor and transparency determine the integrity of our community of scholars."
A,1,What is the academic integrity policy?,5,4,p117_c010,116,0.47417131066322327,"Course-Level Review, Decision, and Action Incidents of alleged violations of the University’s Policy on Academic Integrity will be initially reviewed and adjudicated at the course level or the equivalent academic level for projects that involve research or creative inquiry. Investigations may be managed by the course instructor(s) or departmental designee."
A,1,What is the academic integrity policy?,5,5,p013_c001,12,0.4966597557067871,"conducting their learning in a similarly honest and committed fashion-by avoiding plagiarism, cheating or taking credit for work not their own-and thus contributing to a campus atmosphere which expects and supports academic integrity. Practice of the Mission of Academic Integrity Academic integrity refers to the implicit commitment that every member makes to all others in the community to practice those principles that underlie the mission of the university and define academic integrity."
A,2,How is cheating defined in the policy?,5,1,p017_c013,16,0.5478527545928955,"Policy Violations Cheating occurs when a student avails her/himself of an unfair or disallowed advantage which includes but is not limited to: 1. Theft of or unauthorized access to an exam, answer key or other graded work from previous course offerings."
A,2,How is cheating defined in the policy?,5,2,p017_c012,16,0.5738018751144409,"In the absence of such understanding, it is the student’s responsibility to seek additional information and clarification. Policy Violations Cheating occurs when a student avails her/himself of an unfair or disallowed advantage which includes but is not limited to: 1."
A,2,How is cheating defined in the policy?,5,3,p198_c003,197,1.0656050443649292,"Individuals who violate this policy shall be subject to appropriate disciplinary action, up to and including dismissal from the university. An individual who knowingly or intentionally makes a false report of a violation may also be subject to disciplinary action."
A,2,How is cheating defined in the policy?,5,4,p018_c016,17,1.0671467781066895,"3. Supplying or communicating unauthorized information or materials, including graded work and answer keys from previous course offerings, in any way to another student."
A,2,How is cheating defined in the policy?,5,5,p026_c007,25,1.068779706954956,"The Ombudsman shall have authority to investigate whether an intrusion was warranted by the policy and, (i) shall inform the President and the affected faculty member of the Ombudsman’s findings; (ii) where a violation of the policy is found, shall inform the Faculty Review Committee of the policy violation; and (iii) where appropriate, in the absence of the affected faculty member, to bring a grievance before the Faculty Review Committee. Violation of any aspect of this policy is a sanctionable offense."
A,3,What is the policy for improper or illegal communications?,5,1,p022_c012,21,0.5391624569892883,"Improper/Illegal Communications Any communications that would be improper or illegal on any other medium are equally so on the computer: libelous material, obscene messages, harassment, forgery, threats, etc. However, this is not intended to restrict the free expression of ideas."
A,3,What is the policy for improper or illegal communications?,5,2,p224_c010,223,0.7942739129066467,"This Policy distinguishes the action of reporting from filing a Formal Complaint. Thus, information shared about suspected Prohibited Conduct does not automatically trigger formal action or an investigation, as discussed below in Section VI.B."
A,3,What is the policy for improper or illegal communications?,5,3,p027_c009,26,0.8462462425231934,"Violation of any aspect of this policy is a sanctionable offense. When possible, staff members will be informed about the issuance of court orders, or other intrusions into their electronic data."
A,3,What is the policy for improper or illegal communications?,5,4,p252_c005,251,0.9153363704681396,"Details about the nature of the alleged Prohibited Conduct; and d. Any information available about location(s), date(s), and/or time(s)."
A,3,What is the policy for improper or illegal communications?,5,5,p013_c006,12,0.9158386588096619,"If questions about honest communications and good faith arise within the community or among some of its members, the general issue must be aired in a frank and open way. Individual cases involving alleged infractions, on the other hand, are properly handled under conditions that respect confidentiality."
A,4,What are CMU’s quiet hours?,5,1,p183_c015,182,0.5386164784431458,"Quiet Hours Quiet hours for all residential areas are 8 pm - 8 am on Sunday through Thursday nights, and Midnight - 9 am on Friday and Saturday nights. During finals week or reading days, 24-hour quiet hours will be in effect."
A,4,What are CMU’s quiet hours?,5,2,p183_c014,182,0.6086850762367249,"In addition to disciplinary action, student(s) found with common area furniture will be charged the standard hourly labor rate to return each piece to its proper location. Quiet Hours Quiet hours for all residential areas are 8 pm - 8 am on Sunday through Thursday nights, and Midnight - 9 am on Friday and Saturday nights."
A,4,What are CMU’s quiet hours?,5,3,p183_c016,182,0.6573822498321533,"During finals week or reading days, 24-hour quiet hours will be in effect. For long vacation weekends, weekend hours will be"
A,4,What are CMU’s quiet hours?,5,4,p184_c014,183,0.6802138090133667,"This designation includes a provision for an extension of the university’s current quiet hours policy to 24 hours. As such, residents will be responsible for ensuring that the noise generated within their apartments or residence hall room is not audible at a distance of ten feet from their apartment or residence hall room."
A,4,What are CMU’s quiet hours?,5,5,p184_c013,183,0.7314382791519165,"This designation provides an assurance to all residents in these buildings, and to all residents in the surrounding area, that resident students will act with the highest degree of common courtesy and respect for others in maintaining a particularly quiet and unobtrusive environment. This designation includes a provision for an extension of the university’s current quiet hours policy to 24 hours."
A,5,Where are pets or animals allowed on CMU’s campus?,5,1,p197_c009,196,0.5139808654785156,"Except as noted below, students and their guests are not permitted to bring dogs, cats or other pets inside any university buildings, including residence facilities, fraternities and sororities, classrooms, and other academic or administrative facilities. More information regarding service and emotional support animals can be found through the Office of Disability Resources. More information regarding pets and housing policies can be found on the Housing Policies website."
A,5,Where are pets or animals allowed on CMU’s campus?,5,2,p197_c008,196,0.6092502474784851,"In all cases the owner of the animal is responsible for the animal’s behavior and any damage caused by the animal. Except as noted below, students and their guests are not permitted to bring dogs, cats or other pets inside any university buildings, including residence facilities, fraternities and sororities, classrooms, and other academic or administrative facilities."
A,5,Where are pets or animals allowed on CMU’s campus?,5,3,p197_c006,196,0.612362265586853,Pets Pets are permitted outside on campus grounds when leashed and properly attended. No animal may be left tied to trees or other objects on campus.
A,5,Where are pets or animals allowed on CMU’s campus?,5,4,p197_c010,196,0.6174881458282471,More information regarding pets and housing policies can be found on the Housing Policies website. Students or student organizations that would like to host an on-campus activity or event that involves animals (such as a petting zoo) must receive prior permission.
A,5,Where are pets or animals allowed on CMU’s campus?,5,5,p182_c012,181,0.6483269929885864,Emotional support animals approved by the Office of Disability Resources for university residence facilities are not permitted inside other campus buildings. See The Word.
