Section,Query,k_parameter,Response_Rank,Search_Time_seconds,chunk_id,page_id,FAISS_distance,Response_Text
B.I,What is the policy for improper or illegal communications?,1,1,0.19466686248779297,p022_c012,21,0.5391624569892883,"Improper/Illegal Communications Any communications that would be improper or illegal on any other medium are equally so on the computer: libelous material, obscene messages, harassment, forgery, threats, etc. However, this is not intended to restrict the free expression of ideas."
B.I,What is the policy for improper or illegal communications?,3,1,0.010704994201660156,p022_c012,21,0.5391624569892883,"Improper/Illegal Communications Any communications that would be improper or illegal on any other medium are equally so on the computer: libelous material, obscene messages, harassment, forgery, threats, etc. However, this is not intended to restrict the free expression of ideas."
B.I,What is the policy for improper or illegal communications?,3,2,0.010704994201660156,p224_c010,223,0.7942739129066467,"This Policy distinguishes the action of reporting from filing a Formal Complaint. Thus, information shared about suspected Prohibited Conduct does not automatically trigger formal action or an investigation, as discussed below in Section VI.B."
B.I,What is the policy for improper or illegal communications?,3,3,0.010704994201660156,p027_c009,26,0.8462462425231934,"Violation of any aspect of this policy is a sanctionable offense. When possible, staff members will be informed about the issuance of court orders, or other intrusions into their electronic data."
B.I,What is the policy for improper or illegal communications?,5,1,0.011532068252563477,p022_c012,21,0.5391624569892883,"Improper/Illegal Communications Any communications that would be improper or illegal on any other medium are equally so on the computer: libelous material, obscene messages, harassment, forgery, threats, etc. However, this is not intended to restrict the free expression of ideas."
B.I,What is the policy for improper or illegal communications?,5,2,0.011532068252563477,p224_c010,223,0.7942739129066467,"This Policy distinguishes the action of reporting from filing a Formal Complaint. Thus, information shared about suspected Prohibited Conduct does not automatically trigger formal action or an investigation, as discussed below in Section VI.B."
B.I,What is the policy for improper or illegal communications?,5,3,0.011532068252563477,p027_c009,26,0.8462462425231934,"Violation of any aspect of this policy is a sanctionable offense. When possible, staff members will be informed about the issuance of court orders, or other intrusions into their electronic data."
B.I,What is the policy for improper or illegal communications?,5,4,0.011532068252563477,p252_c005,251,0.9153363704681396,"Details about the nature of the alleged Prohibited Conduct; and d. Any information available about location(s), date(s), and/or time(s)."
B.I,What is the policy for improper or illegal communications?,5,5,0.011532068252563477,p013_c006,12,0.9158386588096619,"If questions about honest communications and good faith arise within the community or among some of its members, the general issue must be aired in a frank and open way. Individual cases involving alleged infractions, on the other hand, are properly handled under conditions that respect confidentiality."
B.I,What is the policy for improper or illegal communications?,10,1,0.01006317138671875,p022_c012,21,0.5391624569892883,"Improper/Illegal Communications Any communications that would be improper or illegal on any other medium are equally so on the computer: libelous material, obscene messages, harassment, forgery, threats, etc. However, this is not intended to restrict the free expression of ideas."
B.I,What is the policy for improper or illegal communications?,10,2,0.01006317138671875,p224_c010,223,0.7942739129066467,"This Policy distinguishes the action of reporting from filing a Formal Complaint. Thus, information shared about suspected Prohibited Conduct does not automatically trigger formal action or an investigation, as discussed below in Section VI.B."
B.I,What is the policy for improper or illegal communications?,10,3,0.01006317138671875,p027_c009,26,0.8462462425231934,"Violation of any aspect of this policy is a sanctionable offense. When possible, staff members will be informed about the issuance of court orders, or other intrusions into their electronic data."
B.I,What is the policy for improper or illegal communications?,10,4,0.01006317138671875,p252_c005,251,0.9153363704681396,"Details about the nature of the alleged Prohibited Conduct; and d. Any information available about location(s), date(s), and/or time(s)."
B.I,What is the policy for improper or illegal communications?,10,5,0.01006317138671875,p013_c006,12,0.9158386588096619,"If questions about honest communications and good faith arise within the community or among some of its members, the general issue must be aired in a frank and open way. Individual cases involving alleged infractions, on the other hand, are properly handled under conditions that respect confidentiality."
B.I,What is the policy for improper or illegal communications?,10,6,0.01006317138671875,p031_c007,30,0.9252223372459412,"Enforcement Inappropriate behavior in the use of computers is punishable under the general university policies and regulations regarding faculty, students and staff. The offenses mentioned in this policy range from relatively minor to extremely serious, though even a minor offense may be treated severely if it is repeated or malicious."
B.I,What is the policy for improper or illegal communications?,10,7,0.01006317138671875,p236_c006,235,0.9278082251548767,"Adjudication Procedures for Other Prohibited Conduct The specific procedures for adjudicating allegations of Prohibited Conduct that, if true, would not constitute Federal Rule Sexual Misconduct (i.e. Other Prohibited Conduct) are based upon the nature of the Respondent’s relationship to the university. • Where the Respondent is a Student — the matter will be handled in accordance with the university’s Student Community Standards Process, which is set forth in the Community Standards section of The Word."
B.I,What is the policy for improper or illegal communications?,10,8,0.01006317138671875,p232_c008,231,0.9379209280014038,"Other Prohibited Conduct) under this Policy and could violate other university policies, the university, in its discretion, will determine which policy/ies and procedures apply and whether action will be taken under multiple policies. With regard to Federal Rule Sexual Misconduct and Other Prohibited Conduct, in the event that at the time of a report or the conclusion of an investigation it becomes apparent that the alleged conduct, if true, would not constitute Federal Rule Sexual"
B.I,What is the policy for improper or illegal communications?,10,9,0.01006317138671875,p118_c003,117,0.9589285850524902,2. Instructors should notify the involved student(s) of the alleged violation(s) and provide the student(s) the opportunity to respond in an in person meeting or by phone or videoconference as circumstances warrant.
B.I,What is the policy for improper or illegal communications?,10,10,0.01006317138671875,p188_c009,187,0.9706798195838928,"Civil, criminal and equitable remedies may apply. Exceptions Exceptions to this Policy must be approved by the Information Security Office and formally documented."
